Claim_ID,Customer_ID,Vehicle_ID,Policy_Start_Date,Claim_Date,Claim_Amount,Claim_Type
39,179994,V179994,2025-10-14,2025-10-14,10000,1
40,630930,V630930,2025-11-07,2025-11-07,10000,1
41,44719,V44719,2025-03-07,2025-03-07,10000,1
42,370527,V370527,2025-05-14,2025-05-14,10000,1
43,569319,V569319,2025-07-07,2025-07-07,10000,1
44,880617,V880617,2025-01-20,2025-01-20,10000,1
45,633133,V633133,2025-11-14,2025-11-14,10000,1
46,952918,V952918,2025-08-07,2025-08-07,10000,1
47,916095,V916095,2025-12-28,2025-12-28,10000,1
48,82065,V82065,2025-03-21,2025-03-21,10000,1
49,486946,V486946,2025-06-14,2025-06-14,10000,1
50,187595,V187595,2025-07-21,2025-07-21,10000,1
51,121153,V121153,2025-01-06,2025-01-06,10000,1
52,209380,V209380,2025-01-27,2025-01-27,10000,1
53,484346,V484346,2025-05-07,2025-05-07,10000,1
54,671617,V671617,2025-01-06,2025-01-06,10000,1
55,715970,V715970,2025-03-14,2025-03-14,10000,1
56,957286,V957286,2025-07-14,2025-07-14,10000,1
57,846914,V846914,2025-12-21,2025-12-21,10000,1
58,985574,V985574,2025-10-28,2025-10-28,10000,1
59,170722,V170722,2025-06-14,2025-06-14,10000,1
60,705150,V705150,2025-08-21,2025-08-21,10000,1
61,697572,V697572,2025-12-07,2025-12-07,10000,1
62,439755,V439755,2025-07-07,2025-07-07,10000,1
63,232644,V232644,2025-08-21,2025-08-21,10000,1
64,58947,V58947,2025-01-20,2025-01-20,10000,1
65,424536,V424536,2025-12-07,2025-12-07,10000,1
66,263334,V263334,2025-06-28,2025-06-28,10000,1
67,783237,V783237,2025-12-28,2025-12-28,10000,1
68,901052,V901052,2025-11-21,2025-11-21,10000,1
69,914701,V914701,2025-03-07,2025-03-07,10000,1
70,468639,V468639,2025-06-07,2025-06-07,10000,1
71,6686,V6686,2025-04-07,2025-04-07,10000,1
72,356522,V356522,2025-02-06,2025-02-06,10000,1
73,899527,V899527,2025-09-21,2025-09-21,10000,1
74,762581,V762581,2025-07-21,2025-07-21,10000,1
75,21174,V21174,2025-11-07,2025-11-07,10000,1
76,889987,V889987,2025-08-28,2025-08-28,10000,1
77,137423,V137423,2025-06-21,2025-06-21,10000,1
78,567754,V567754,2025-03-28,2025-03-28,10000,1
79,919451,V919451,2025-02-27,2025-02-27,10000,1
80,630814,V630814,2025-07-14,2025-07-14,10000,1
81,301306,V301306,2025-03-28,2025-03-28,10000,1
82,160070,V160070,2025-05-07,2025-05-07,10000,1
83,77788,V77788,2025-07-14,2025-07-14,10000,1
84,728109,V728109,2025-05-14,2025-05-14,10000,1
85,989128,V989128,2025-07-14,2025-07-14,10000,1
86,632637,V632637,2025-07-07,2025-07-07,10000,1
87,113206,V113206,2025-04-21,2025-04-21,10000,1
88,436279,V436279,2025-01-06,2025-01-06,10000,1
89,485208,V485208,2025-09-14,2025-09-14,10000,1
90,506344,V506344,2025-06-14,2025-06-14,10000,1
91,139605,V139605,2025-06-07,2025-06-07,10000,1
92,500015,V500015,2025-02-27,2025-02-27,10000,1
93,879017,V879017,2025-09-07,2025-09-07,10000,1
94,756153,V756153,2025-12-28,2025-12-28,10000,1
95,722040,V722040,2025-10-14,2025-10-14,10000,1
96,869430,V869430,2025-06-28,2025-06-28,10000,1
97,132702,V132702,2025-07-28,2025-07-28,10000,1
98,107343,V107343,2025-04-14,2025-04-14,10000,1
99,989326,V989326,2025-01-27,2025-01-27,10000,1
100,897513,V897513,2025-03-21,2025-03-21,10000,1
101,909669,V909669,2025-06-07,2025-06-07,10000,1
102,110752,V110752,2025-08-07,2025-08-07,10000,1
103,789025,V789025,2025-10-21,2025-10-21,10000,1
104,818138,V818138,2025-05-07,2025-05-07,10000,1
105,350604,V350604,2025-12-07,2025-12-07,10000,1
106,626637,V626637,2025-02-13,2025-02-13,10000,1
107,849035,V849035,2025-10-07,2025-10-07,10000,1
108,257457,V257457,2025-06-07,2025-06-07,10000,1
109,5915,V5915,2025-02-27,2025-02-27,10000,1
110,762588,V762588,2025-07-28,2025-07-28,10000,1
111,863682,V863682,2025-10-14,2025-10-14,10000,1
112,678753,V678753,2025-07-07,2025-07-07,10000,1
113,322406,V322406,2025-11-21,2025-11-21,10000,1
114,169668,V169668,2025-07-28,2025-07-28,10000,1
115,23370,V23370,2025-11-07,2025-11-07,10000,1
116,947154,V947154,2025-11-07,2025-11-07,10000,1
117,939475,V939475,2025-11-14,2025-11-14,10000,1
118,53616,V53616,2025-06-28,2025-06-28,10000,1
119,778733,V778733,2025-09-07,2025-09-07,10000,1
120,17321,V17321,2025-04-28,2025-04-28,10000,1
121,202991,V202991,2025-08-14,2025-08-14,10000,1
122,873321,V873321,2025-02-13,2025-02-13,10000,1
123,278990,V278990,2025-04-07,2025-04-07,10000,1
124,359646,V359646,2025-08-21,2025-08-21,10000,1
125,147687,V147687,2025-07-07,2025-07-07,10000,1
126,885886,V885886,2025-06-14,2025-06-14,10000,1
127,406785,V406785,2025-06-07,2025-06-07,10000,1
128,622328,V622328,2025-05-07,2025-05-07,10000,1
129,785046,V785046,2025-12-07,2025-12-07,10000,1
130,865404,V865404,2025-06-28,2025-06-28,10000,1
131,45594,V45594,2025-07-28,2025-07-28,10000,1
132,695833,V695833,2025-03-07,2025-03-07,10000,1
133,436041,V436041,2025-05-14,2025-05-14,10000,1
134,316420,V316420,2025-07-14,2025-07-14,10000,1
135,327164,V327164,2025-11-21,2025-11-21,10000,1
136,561451,V561451,2025-01-06,2025-01-06,10000,1
137,780248,V780248,2025-10-28,2025-10-28,10000,1
138,191255,V191255,2025-07-21,2025-07-21,10000,1
139,132407,V132407,2025-10-07,2025-10-07,10000,1
140,92039,V92039,2025-06-21,2025-06-21,10000,1
141,729139,V729139,2025-03-07,2025-03-07,10000,1
142,561397,V561397,2025-11-14,2025-11-14,10000,1
143,541494,V541494,2025-06-28,2025-06-28,10000,1
144,292424,V292424,2025-12-21,2025-12-21,10000,1
145,924209,V924209,2025-02-27,2025-02-27,10000,1
146,544422,V544422,2025-06-28,2025-06-28,10000,1
147,878299,V878299,2025-09-21,2025-09-21,10000,1
148,512254,V512254,2025-08-07,2025-08-07,10000,1
149,549454,V549454,2025-03-28,2025-03-28,10000,1
150,599498,V599498,2025-12-21,2025-12-21,10000,1
151,24109,V24109,2025-11-14,2025-11-14,10000,1
152,747776,V747776,2025-02-06,2025-02-06,10000,1
153,705693,V705693,2025-02-13,2025-02-13,10000,1
154,616724,V616724,2025-01-13,2025-01-13,10000,1
155,189930,V189930,2025-12-07,2025-12-07,10000,1
156,308741,V308741,2025-07-21,2025-07-21,10000,1
157,532984,V532984,2025-03-28,2025-03-28,10000,1
158,285965,V285965,2025-04-28,2025-04-28,10000,1
159,724663,V724663,2025-12-14,2025-12-14,10000,1
160,550545,V550545,2025-03-21,2025-03-21,10000,1
161,915203,V915203,2025-07-21,2025-07-21,10000,1
162,520466,V520466,2025-01-13,2025-01-13,10000,1
163,819136,V819136,2025-01-27,2025-01-27,10000,1
164,181808,V181808,2025-09-28,2025-09-28,10000,1
165,78362,V78362,2025-02-06,2025-02-06,10000,1
166,343755,V343755,2025-03-21,2025-03-21,10000,1
167,958073,V958073,2025-09-07,2025-09-07,10000,1
168,589456,V589456,2025-07-14,2025-07-14,10000,1
169,729849,V729849,2025-02-13,2025-02-13,10000,1
170,285341,V285341,2025-08-14,2025-08-14,10000,1
171,144414,V144414,2025-07-28,2025-07-28,10000,1
172,803604,V803604,2025-08-21,2025-08-21,10000,1
173,791299,V791299,2025-01-06,2025-01-06,10000,1
174,94282,V94282,2025-08-07,2025-08-07,10000,1
175,896690,V896690,2025-12-21,2025-12-21,10000,1
176,124620,V124620,2025-06-28,2025-06-28,10000,1
177,949973,V949973,2025-07-21,2025-07-21,10000,1
178,483148,V483148,2025-01-27,2025-01-27,10000,1
179,900448,V900448,2025-03-28,2025-03-28,10000,1
180,494273,V494273,2025-06-21,2025-06-21,10000,1
181,55866,V55866,2025-08-21,2025-08-21,10000,1
182,4704,V4704,2025-11-07,2025-11-07,10000,1
183,701910,V701910,2025-10-14,2025-10-14,10000,1
184,946473,V946473,2025-12-28,2025-12-28,10000,1
185,983784,V983784,2025-12-07,2025-12-07,10000,1
186,955623,V955623,2025-12-28,2025-12-28,10000,1
187,666103,V666103,2025-12-14,2025-12-14,10000,1
188,582594,V582594,2025-10-14,2025-10-14,10000,1
189,132238,V132238,2025-04-21,2025-04-21,10000,1
190,312357,V312357,2025-06-07,2025-06-07,10000,1
191,642031,V642031,2025-03-07,2025-03-07,10000,1
192,29012,V29012,2025-04-07,2025-04-07,10000,1
193,35875,V35875,2025-01-06,2025-01-06,10000,1
194,348635,V348635,2025-07-21,2025-07-21,10000,1
195,508334,V508334,2025-11-21,2025-11-21,10000,1
196,761308,V761308,2025-01-27,2025-01-27,10000,1
197,635084,V635084,2025-03-14,2025-03-14,10000,1
198,219810,V219810,2025-07-28,2025-07-28,10000,1
199,337083,V337083,2025-12-28,2025-12-28,10000,1
200,106282,V106282,2025-05-21,2025-05-21,10000,1
201,311615,V311615,2025-05-28,2025-05-28,10000,1
202,411465,V411465,2025-03-21,2025-03-21,10000,1
203,412662,V412662,2025-06-28,2025-06-28,10000,1
204,284776,V284776,2025-01-27,2025-01-27,10000,1
205,458650,V458650,2025-02-20,2025-02-20,10000,1
206,507304,V507304,2025-01-27,2025-01-27,10000,1
207,322727,V322727,2025-10-07,2025-10-07,10000,1
208,745091,V745091,2025-10-07,2025-10-07,10000,1
209,4389,V4389,2025-12-28,2025-12-28,10000,1
210,103630,V103630,2025-02-20,2025-02-20,10000,1
211,798374,V798374,2025-05-07,2025-05-07,10000,1
212,759196,V759196,2025-04-21,2025-04-21,10000,1
213,2508,V2508,2025-11-07,2025-11-07,10000,1
214,171393,V171393,2025-04-14,2025-04-14,10000,1
215,352638,V352638,2025-06-28,2025-06-28,10000,1
216,301750,V301750,2025-06-14,2025-06-14,10000,1
217,675169,V675169,2025-09-21,2025-09-21,10000,1
218,115845,V115845,2025-07-07,2025-07-07,10000,1
219,501982,V501982,2025-07-14,2025-07-14,10000,1
220,164469,V164469,2025-05-14,2025-05-14,10000,1
221,554915,V554915,2025-02-27,2025-02-27,10000,1
222,405816,V405816,2025-10-14,2025-10-14,10000,1
223,628115,V628115,2025-02-27,2025-02-27,10000,1
224,659041,V659041,2025-08-28,2025-08-28,10000,1
225,920693,V920693,2025-07-21,2025-07-21,10000,1
226,294932,V294932,2025-10-28,2025-10-28,10000,1
227,868471,V868471,2025-11-14,2025-11-14,10000,1
228,953841,V953841,2025-02-13,2025-02-13,10000,1
229,555944,V555944,2025-12-21,2025-12-21,10000,1
230,197423,V197423,2025-05-28,2025-05-28,10000,1
231,668940,V668940,2025-09-14,2025-09-14,10000,1
232,106709,V106709,2025-07-21,2025-07-21,10000,1
233,803498,V803498,2025-05-07,2025-05-07,10000,1
234,995931,V995931,2025-02-13,2025-02-13,10000,1
235,383802,V383802,2025-08-21,2025-08-21,10000,1
236,333728,V333728,2025-10-28,2025-10-28,10000,1
237,823337,V823337,2025-07-21,2025-07-21,10000,1
238,363032,V363032,2025-11-21,2025-11-21,10000,1
239,832633,V832633,2025-12-14,2025-12-14,10000,1
240,499305,V499305,2025-03-21,2025-03-21,10000,1
241,299050,V299050,2025-01-27,2025-01-27,10000,1
242,627955,V627955,2025-09-21,2025-09-21,10000,1
243,394721,V394721,2025-06-21,2025-06-21,10000,1
244,99793,V99793,2025-08-28,2025-08-28,10000,1
245,290305,V290305,2025-03-07,2025-03-07,10000,1
246,687110,V687110,2025-05-07,2025-05-07,10000,1
247,732180,V732180,2025-06-28,2025-06-28,10000,1
248,632141,V632141,2025-02-27,2025-02-27,10000,1
249,246011,V246011,2025-02-27,2025-02-27,10000,1
250,943576,V943576,2025-01-27,2025-01-27,10000,1
251,434889,V434889,2025-03-21,2025-03-21,10000,1
252,888014,V888014,2025-04-07,2025-04-07,10000,1
253,366464,V366464,2025-04-07,2025-04-07,10000,1
254,93435,V93435,2025-04-14,2025-04-14,10000,1
255,793691,V793691,2025-07-21,2025-07-21,10000,1
256,531530,V531530,2025-04-07,2025-04-07,10000,1
257,23254,V23254,2025-07-14,2025-07-14,10000,1
258,751991,V751991,2025-08-14,2025-08-14,10000,1
259,855857,V855857,2025-05-28,2025-05-28,10000,1
260,4199,V4199,2025-06-21,2025-06-21,10000,1
261,680269,V680269,2025-08-28,2025-08-28,10000,1
262,988373,V988373,2025-06-21,2025-06-21,10000,1
263,394179,V394179,2025-12-28,2025-12-28,10000,1
264,378511,V378511,2025-03-07,2025-03-07,10000,1
265,60884,V60884,2025-05-07,2025-05-07,10000,1
266,980215,V980215,2025-03-07,2025-03-07,10000,1
267,16515,V16515,2025-02-13,2025-02-13,10000,1
268,543829,V543829,2025-11-14,2025-11-14,10000,1
269,440305,V440305,2025-01-06,2025-01-06,10000,1
270,272667,V272667,2025-12-28,2025-12-28,10000,1
271,469859,V469859,2025-10-07,2025-10-07,10000,1
272,838832,V838832,2025-11-21,2025-11-21,10000,1
273,765181,V765181,2025-08-28,2025-08-28,10000,1
274,634833,V634833,2025-07-07,2025-07-07,10000,1
275,474638,V474638,2025-10-28,2025-10-28,10000,1
276,662253,V662253,2025-06-07,2025-06-07,10000,1
277,707688,V707688,2025-07-28,2025-07-28,10000,1
278,775391,V775391,2025-07-21,2025-07-21,10000,1
279,17230,V17230,2025-01-27,2025-01-27,10000,1
280,676846,V676846,2025-04-21,2025-04-21,10000,1
281,996723,V996723,2025-04-14,2025-04-14,10000,1
282,263625,V263625,2025-04-14,2025-04-14,10000,1
283,217478,V217478,2025-03-14,2025-03-14,10000,1
284,889919,V889919,2025-06-21,2025-06-21,10000,1
285,302191,V302191,2025-08-28,2025-08-28,10000,1
286,366966,V366966,2025-08-21,2025-08-21,10000,1
287,264297,V264297,2025-02-13,2025-02-13,10000,1
288,278045,V278045,2025-09-07,2025-09-07,10000,1
289,11231,V11231,2025-09-07,2025-09-07,10000,1
290,59960,V59960,2025-10-28,2025-10-28,10000,1
291,729435,V729435,2025-12-28,2025-12-28,10000,1
292,520632,V520632,2025-06-28,2025-06-28,10000,1
293,476119,V476119,2025-11-14,2025-11-14,10000,1
294,320226,V320226,2025-12-07,2025-12-07,10000,1
295,185864,V185864,2025-10-28,2025-10-28,10000,1
296,486320,V486320,2025-09-28,2025-09-28,10000,1
297,809538,V809538,2025-11-07,2025-11-07,10000,1
298,215770,V215770,2025-07-14,2025-07-14,10000,1
299,594259,V594259,2025-08-28,2025-08-28,10000,1
300,24407,V24407,2025-09-07,2025-09-07,10000,1
301,311022,V311022,2025-10-14,2025-10-14,10000,1
302,860006,V860006,2025-09-28,2025-09-28,10000,1
303,321101,V321101,2025-04-28,2025-04-28,10000,1
304,395049,V395049,2025-05-14,2025-05-14,10000,1
305,761674,V761674,2025-01-27,2025-01-27,10000,1
306,179154,V179154,2025-06-28,2025-06-28,10000,1
307,250533,V250533,2025-07-07,2025-07-07,10000,1
308,900563,V900563,2025-07-21,2025-07-21,10000,1
309,846518,V846518,2025-11-21,2025-11-21,10000,1
310,950332,V950332,2025-07-14,2025-07-14,10000,1
311,579079,V579079,2025-03-07,2025-03-07,10000,1
312,949059,V949059,2025-01-20,2025-01-20,10000,1
313,730641,V730641,2025-04-14,2025-04-14,10000,1
314,802683,V802683,2025-02-13,2025-02-13,10000,1
315,417901,V417901,2025-10-21,2025-10-21,10000,1
316,630455,V630455,2025-07-21,2025-07-21,10000,1
317,981100,V981100,2025-08-07,2025-08-07,10000,1
318,282335,V282335,2025-05-28,2025-05-28,10000,1
319,700293,V700293,2025-05-14,2025-05-14,10000,1
320,887045,V887045,2025-08-14,2025-08-14,10000,1
321,589586,V589586,2025-11-21,2025-11-21,10000,1
322,839319,V839319,2025-03-21,2025-03-21,10000,1
323,686675,V686675,2025-02-27,2025-02-27,10000,1
324,517019,V517019,2025-08-14,2025-08-14,10000,1
325,955097,V955097,2025-07-21,2025-07-21,10000,1
326,78497,V78497,2025-06-21,2025-06-21,10000,1
327,490507,V490507,2025-03-07,2025-03-07,10000,1
328,277204,V277204,2025-05-21,2025-05-21,10000,1
329,335750,V335750,2025-05-07,2025-05-07,10000,1
330,355186,V355186,2025-06-14,2025-06-14,10000,1
331,896805,V896805,2025-04-14,2025-04-14,10000,1
332,703526,V703526,2025-03-14,2025-03-14,10000,1
333,840326,V840326,2025-12-21,2025-12-21,10000,1
334,387266,V387266,2025-02-06,2025-02-06,10000,1
335,313964,V313964,2025-10-28,2025-10-28,10000,1
336,806685,V806685,2025-01-20,2025-01-20,10000,1
337,76553,V76553,2025-02-27,2025-02-27,10000,1
338,978660,V978660,2025-12-07,2025-12-07,10000,1
339,976394,V976394,2025-09-28,2025-09-28,10000,1
340,196091,V196091,2025-10-07,2025-10-07,10000,1
341,298653,V298653,2025-12-28,2025-12-28,10000,1
342,829370,V829370,2025-01-13,2025-01-13,10000,1
343,907883,V907883,2025-07-21,2025-07-21,10000,1
344,241954,V241954,2025-01-27,2025-01-27,10000,1
345,107092,V107092,2025-08-07,2025-08-07,10000,1
346,615449,V615449,2025-07-21,2025-07-21,10000,1
347,99458,V99458,2025-09-28,2025-09-28,10000,1
348,467396,V467396,2025-01-13,2025-01-13,10000,1
349,188212,V188212,2025-03-28,2025-03-28,10000,1
350,532330,V532330,2025-06-14,2025-06-14,10000,1
351,480511,V480511,2025-11-14,2025-11-14,10000,1
352,718746,V718746,2025-10-14,2025-10-14,10000,1
353,173230,V173230,2025-04-21,2025-04-21,10000,1
354,993534,V993534,2025-07-28,2025-07-28,10000,1
355,798412,V798412,2025-06-14,2025-06-14,10000,1
356,747027,V747027,2025-01-20,2025-01-20,10000,1
357,242198,V242198,2025-09-28,2025-09-28,10000,1
358,266455,V266455,2025-01-06,2025-01-06,10000,1
359,126419,V126419,2025-05-28,2025-05-28,10000,1
360,878939,V878939,2025-06-21,2025-06-21,10000,1
361,539284,V539284,2025-06-14,2025-06-14,10000,1
362,684884,V684884,2025-04-07,2025-04-07,10000,1
363,8973,V8973,2025-07-07,2025-07-07,10000,1
364,482164,V482164,2025-05-21,2025-05-21,10000,1
365,146207,V146207,2025-06-21,2025-06-21,10000,1
366,367965,V367965,2025-05-14,2025-05-14,10000,1
367,520815,V520815,2025-12-28,2025-12-28,10000,1
368,768674,V768674,2025-03-14,2025-03-14,10000,1
369,291381,V291381,2025-02-13,2025-02-13,10000,1
370,738364,V738364,2025-05-21,2025-05-21,10000,1
371,592689,V592689,2025-05-14,2025-05-14,10000,1
372,466091,V466091,2025-06-21,2025-06-21,10000,1
373,628290,V628290,2025-08-21,2025-08-21,10000,1
374,552240,V552240,2025-11-07,2025-11-07,10000,1
375,118445,V118445,2025-08-14,2025-08-14,10000,1
376,533695,V533695,2025-03-07,2025-03-07,10000,1
377,362848,V362848,2025-05-21,2025-05-21,10000,1
378,667215,V667215,2025-12-28,2025-12-28,10000,1
379,291197,V291197,2025-08-14,2025-08-14,10000,1
380,134990,V134990,2025-10-28,2025-10-28,10000,1
381,850696,V850696,2025-04-21,2025-04-21,10000,1
382,250158,V250158,2025-06-28,2025-06-28,10000,1
383,445489,V445489,2025-03-07,2025-03-07,10000,1
384,797795,V797795,2025-10-07,2025-10-07,10000,1
385,737183,V737183,2025-02-27,2025-02-27,10000,1
386,162602,V162602,2025-04-07,2025-04-07,10000,1
387,789902,V789902,2025-03-14,2025-03-14,10000,1
388,559940,V559940,2025-11-21,2025-11-21,10000,1
389,161243,V161243,2025-07-21,2025-07-21,10000,1
390,563494,V563494,2025-08-07,2025-08-07,10000,1
391,123531,V123531,2025-07-07,2025-07-07,10000,1
392,502570,V502570,2025-02-20,2025-02-20,10000,1
393,639964,V639964,2025-07-14,2025-07-14,10000,1
394,335308,V335308,2025-02-20,2025-02-20,10000,1
395,422879,V422879,2025-05-28,2025-05-28,10000,1
396,449781,V449781,2025-11-28,2025-11-28,10000,1
397,212705,V212705,2025-02-27,2025-02-27,10000,1
398,21601,V21601,2025-01-06,2025-01-06,10000,1
399,65297,V65297,2025-05-28,2025-05-28,10000,1
400,278265,V278265,2025-04-14,2025-04-14,10000,1
401,598011,V598011,2025-11-28,2025-11-28,10000,1
402,569822,V569822,2025-11-21,2025-11-21,10000,1
403,423141,V423141,2025-02-13,2025-02-13,10000,1
404,803977,V803977,2025-08-28,2025-08-28,10000,1
405,145017,V145017,2025-03-21,2025-03-21,10000,1
406,972574,V972574,2025-04-21,2025-04-21,10000,1
407,700270,V700270,2025-04-21,2025-04-21,10000,1
408,414013,V414013,2025-03-07,2025-03-07,10000,1
409,650623,V650623,2025-08-28,2025-08-28,10000,1
410,448103,V448103,2025-04-28,2025-04-28,10000,1
411,518667,V518667,2025-02-13,2025-02-13,10000,1
412,401316,V401316,2025-06-28,2025-06-28,10000,1
413,515257,V515257,2025-10-21,2025-10-21,10000,1
414,217767,V217767,2025-12-28,2025-12-28,10000,1
415,219217,V219217,2025-12-14,2025-12-14,10000,1
416,279119,V279119,2025-08-14,2025-08-14,10000,1
417,72092,V72092,2025-12-21,2025-12-21,10000,1
418,725684,V725684,2025-09-28,2025-09-28,10000,1
419,262795,V262795,2025-01-06,2025-01-06,10000,1
420,378770,V378770,2025-11-21,2025-11-21,10000,1
421,181451,V181451,2025-10-07,2025-10-07,10000,1
422,941312,V941312,2025-11-21,2025-11-21,10000,1
423,275473,V275473,2025-08-28,2025-08-28,10000,1
424,941045,V941045,2025-02-27,2025-02-27,10000,1
425,267126,V267126,2025-11-07,2025-11-07,10000,1
426,111765,V111765,2025-05-14,2025-05-14,10000,1
427,187359,V187359,2025-11-28,2025-11-28,10000,1
428,565399,V565399,2025-10-21,2025-10-21,10000,1
429,214595,V214595,2025-04-28,2025-04-28,10000,1
430,768362,V768362,2025-05-07,2025-05-07,10000,1
431,817268,V817268,2025-12-21,2025-12-21,10000,1
432,600901,V600901,2025-10-21,2025-10-21,10000,1
433,12633,V12633,2025-07-07,2025-07-07,10000,1
434,377374,V377374,2025-01-27,2025-01-27,10000,1
435,826029,V826029,2025-11-28,2025-11-28,10000,1
436,467769,V467769,2025-01-20,2025-01-20,10000,1
437,512573,V512573,2025-06-21,2025-06-21,10000,1
438,696427,V696427,2025-10-21,2025-10-21,10000,1
439,700331,V700331,2025-06-21,2025-06-21,10000,1
440,842577,V842577,2025-02-13,2025-02-13,10000,1
441,16263,V16263,2025-06-07,2025-06-07,10000,1
442,702137,V702137,2025-05-28,2025-05-28,10000,1
443,37665,V37665,2025-11-28,2025-11-28,10000,1
444,332630,V332630,2025-10-28,2025-10-28,10000,1
445,586200,V586200,2025-08-21,2025-08-21,10000,1
446,475173,V475173,2025-04-14,2025-04-14,10000,1
447,408432,V408432,2025-12-07,2025-12-07,10000,1
448,844070,V844070,2025-03-14,2025-03-14,10000,1
449,254109,V254109,2025-04-14,2025-04-14,10000,1
450,467944,V467944,2025-07-14,2025-07-14,10000,1
451,774591,V774591,2025-05-14,2025-05-14,10000,1
452,641459,V641459,2025-08-14,2025-08-14,10000,1
453,312805,V312805,2025-08-28,2025-08-28,10000,1
454,909059,V909059,2025-10-07,2025-10-07,10000,1
455,395012,V395012,2025-04-07,2025-04-07,10000,1
456,131682,V131682,2025-10-14,2025-10-14,10000,1
457,585919,V585919,2025-11-14,2025-11-14,10000,1
458,132214,V132214,2025-03-28,2025-03-28,10000,1
459,72109,V72109,2025-01-06,2025-01-06,10000,1
460,103127,V103127,2025-10-07,2025-10-07,10000,1
461,903333,V903333,2025-02-13,2025-02-13,10000,1
462,918155,V918155,2025-08-14,2025-08-14,10000,1
463,983211,V983211,2025-05-14,2025-05-14,10000,1
464,716076,V716076,2025-06-28,2025-06-28,10000,1
465,515021,V515021,2025-02-27,2025-02-27,10000,1
466,337899,V337899,2025-03-21,2025-03-21,10000,1
467,419555,V419555,2025-04-28,2025-04-28,10000,1
468,430095,V430095,2025-02-13,2025-02-13,10000,1
469,831701,V831701,2025-05-28,2025-05-28,10000,1
470,563539,V563539,2025-09-21,2025-09-21,10000,1
471,476393,V476393,2025-08-14,2025-08-14,10000,1
472,572925,V572925,2025-05-14,2025-05-14,10000,1
473,734681,V734681,2025-04-28,2025-04-28,10000,1
474,513969,V513969,2025-04-14,2025-04-14,10000,1
475,840783,V840783,2025-03-21,2025-03-21,10000,1
476,634604,V634604,2025-11-21,2025-11-21,10000,1
477,161007,V161007,2025-11-28,2025-11-28,10000,1
478,691852,V691852,2025-04-21,2025-04-21,10000,1
479,412702,V412702,2025-08-07,2025-08-07,10000,1
480,64430,V64430,2025-01-13,2025-01-13,10000,1
481,248193,V248193,2025-02-13,2025-02-13,10000,1
482,384022,V384022,2025-03-28,2025-03-28,10000,1
483,541381,V541381,2025-03-07,2025-03-07,10000,1
484,497224,V497224,2025-07-14,2025-07-14,10000,1
485,312470,V312470,2025-09-28,2025-09-28,10000,1
486,706454,V706454,2025-03-14,2025-03-14,10000,1
487,225964,V225964,2025-05-21,2025-05-21,10000,1
488,117019,V117019,2025-09-21,2025-09-21,10000,1
489,812029,V812029,2025-08-28,2025-08-28,10000,1
490,474441,V474441,2025-04-14,2025-04-14,10000,1
491,654933,V654933,2025-06-07,2025-06-07,10000,1
492,164432,V164432,2025-04-07,2025-04-07,10000,1
493,952268,V952268,2025-10-28,2025-10-28,10000,1
494,764130,V764130,2025-10-14,2025-10-14,10000,1
495,4825,V4825,2025-03-07,2025-03-07,10000,1
496,62759,V62759,2025-06-21,2025-06-21,10000,1
